,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,team1_win,team1_toss_win,team1_bat
0,1,2017,Hyderabad,05-04-2017,13,12,12,field,normal,0,13,35,0,Yuvraj Singh,28,AY Dandekar,NJ Llong,,1.0,0.0,0
1,2,2017,Pune,06-04-2017,8,11,11,field,normal,0,11,0,7,SPD Smith,21,A Nand Kishore,S Ravi,,0.0,0.0,0
2,3,2017,Rajkot,07-04-2017,4,7,7,field,normal,0,7,0,10,CA Lynn,31,Nitin Menon,CK Nandan,,0.0,0.0,0
3,4,2017,Indore,08-04-2017,11,5,5,field,normal,0,5,0,6,GJ Maxwell,13,AK Chaudhary,C Shamshuddin,,0.0,0.0,0
4,5,2017,Bangalore,08-04-2017,12,3,12,bat,normal,0,12,15,0,KM Jadhav,17,,,,1.0,1.0,1
5,6,2017,Hyderabad,09-04-2017,4,13,13,field,normal,0,13,0,9,Rashid Khan,28,A Deshmukh,NJ Llong,,0.0,0.0,0
6,7,2017,Mumbai,09-04-2017,7,8,8,field,normal,0,8,0,4,N Rana,40,Nitin Menon,CK Nandan,,0.0,0.0,0
7,8,2017,Indore,10-04-2017,12,5,12,bat,normal,0,5,0,8,AR Patel,13,AK Chaudhary,C Shamshuddin,,0.0,1.0,1
8,9,2017,Pune,11-04-2017,3,11,11,field,normal,0,3,97,0,SV Samson,21,AY Dandekar,S Ravi,,1.0,0.0,0
9,10,2017,Mumbai,12-04-2017,13,8,8,field,normal,0,8,0,4,JJ Bumrah,40,Nitin Menon,CK Nandan,,0.0,0.0,0
10,11,2017,Kolkata,13-04-2017,5,7,7,field,normal,0,7,0,8,SP Narine,8,A Deshmukh,NJ Llong,,0.0,0.0,0
11,12,2017,Bangalore,14-04-2017,12,8,8,field,normal,0,8,0,4,KA Pollard,17,KN Ananthapadmanabhan,AK Chaudhary,,0.0,0.0,0
12,13,2017,Rajkot,14-04-2017,11,4,4,field,normal,0,4,0,7,AJ Tye,31,A Nand Kishore,S Ravi,,0.0,0.0,0
13,14,2017,Kolkata,15-04-2017,7,13,13,field,normal,0,7,17,0,RV Uthappa,8,AY Dandekar,NJ Llong,,1.0,0.0,0
14,15,2017,Delhi,15-04-2017,3,5,3,bat,normal,0,3,51,0,CJ Anderson,9,YC Barde,Nitin Menon,,1.0,1.0,1
15,16,2017,Mumbai,16-04-2017,4,8,8,field,normal,0,8,0,6,N Rana,40,A Nand Kishore,S Ravi,,0.0,0.0,0
16,17,2017,Bangalore,16-04-2017,11,12,12,field,normal,0,11,27,0,BA Stokes,17,KN Ananthapadmanabhan,C Shamshuddin,,1.0,0.0,0
17,18,2017,Delhi,17-04-2017,3,7,3,bat,normal,0,7,0,4,NM Coulter-Nile,9,Nitin Menon,CK Nandan,,0.0,1.0,1
18,19,2017,Hyderabad,17-04-2017,13,5,5,field,normal,0,13,5,0,B Kumar,28,AY Dandekar,A Deshmukh,,1.0,0.0,0
19,20,2017,Rajkot,18-04-2017,12,4,4,field,normal,0,12,21,0,CH Gayle,31,S Ravi,VK Sharma,,1.0,0.0,0
20,21,2017,Hyderabad,19-04-2017,13,3,13,bat,normal,0,13,15,0,KS Williamson,28,CB Gaffaney,NJ Llong,,1.0,1.0,1
21,22,2017,Indore,20-04-2017,5,8,8,field,normal,0,8,0,8,JC Buttler,13,M Erasmus,C Shamshuddin,,0.0,0.0,0
22,23,2017,Kolkata,21-04-2017,7,4,4,field,normal,0,4,0,4,SK Raina,8,CB Gaffaney,Nitin Menon,,0.0,0.0,0
23,24,2017,Mumbai,22-04-2017,8,3,3,field,normal,0,8,14,0,MJ McClenaghan,40,A Nand Kishore,S Ravi,,1.0,0.0,0
24,25,2017,Pune,22-04-2017,13,11,11,field,normal,0,11,0,6,MS Dhoni,21,AY Dandekar,A Deshmukh,,0.0,0.0,0
25,26,2017,Rajkot,23-04-2017,5,4,4,field,normal,0,5,26,0,HM Amla,31,AK Chaudhary,M Erasmus,,1.0,0.0,0
26,27,2017,Kolkata,23-04-2017,7,12,12,field,normal,0,7,82,0,NM Coulter-Nile,8,CB Gaffaney,CK Nandan,,1.0,0.0,0
27,28,2017,Mumbai,24-04-2017,11,8,8,field,normal,0,11,3,0,BA Stokes,40,A Nand Kishore,S Ravi,,1.0,0.0,0
28,29,2017,Pune,26-04-2017,11,7,7,field,normal,0,7,0,7,RV Uthappa,21,AY Dandekar,NJ Llong,,0.0,0.0,0
29,30,2017,Bangalore,27-04-2017,12,4,4,field,normal,0,4,0,7,AJ Tye,17,AK Chaudhary,C Shamshuddin,,0.0,0.0,0
30,31,2017,Kolkata,28-04-2017,3,7,7,field,normal,0,7,0,7,G Gambhir,8,NJ Llong,S Ravi,,0.0,0.0,0
31,32,2017,Chandigarh,28-04-2017,13,5,5,field,normal,0,13,26,0,Rashid Khan,26,Nitin Menon,CK Nandan,,1.0,0.0,0
32,33,2017,Pune,29-04-2017,11,12,12,field,normal,0,11,61,0,LH Ferguson,21,KN Ananthapadmanabhan,M Erasmus,,1.0,0.0,0
33,34,2017,Rajkot,29-04-2017,4,8,4,bat,tie,0,8,0,0,KH Pandya,31,AK Chaudhary,CB Gaffaney,,0.0,1.0,1
34,35,2017,Chandigarh,30-04-2017,3,5,5,field,normal,0,5,0,10,Sandeep Sharma,26,YC Barde,CK Nandan,,0.0,0.0,0
35,36,2017,Hyderabad,30-04-2017,13,7,7,field,normal,0,13,48,0,DA Warner,28,AY Dandekar,S Ravi,,1.0,0.0,0
36,37,2017,Mumbai,01-05-2017,12,8,12,bat,normal,0,8,0,5,RG Sharma,40,AK Chaudhary,CB Gaffaney,,0.0,1.0,1
37,38,2017,Pune,01-05-2017,4,11,11,field,normal,0,11,0,5,BA Stokes,21,M Erasmus,C Shamshuddin,,0.0,0.0,0
38,39,2017,Delhi,02-05-2017,13,3,3,field,normal,0,3,0,6,Mohammed Shami,9,YC Barde,Nitin Menon,,0.0,0.0,0
39,40,2017,Kolkata,03-05-2017,7,11,11,field,normal,0,11,0,4,RA Tripathi,8,KN Ananthapadmanabhan,A Nand Kishore,,0.0,0.0,0
40,41,2017,Delhi,04-05-2017,4,3,3,field,normal,0,3,0,7,RR Pant,9,M Erasmus,Nitin Menon,,0.0,0.0,0
41,42,2017,Bangalore,05-05-2017,5,12,12,field,normal,0,5,19,0,Sandeep Sharma,17,CB Gaffaney,C Shamshuddin,,1.0,0.0,0
42,43,2017,Hyderabad,06-05-2017,11,13,13,field,normal,0,11,12,0,JD Unadkat,28,KN Ananthapadmanabhan,AK Chaudhary,,1.0,0.0,0
43,44,2017,Delhi,06-05-2017,8,3,3,field,normal,0,8,146,0,LMP Simmons,9,Nitin Menon,CK Nandan,,1.0,0.0,0
