,victory_margin,instances
1,14,13
2,4,11
3,10,11
4,1,10
5,9,9
6,15,9
7,13,9
8,22,9
9,23,9
10,7,9
11,12,8
12,37,8
13,19,8
14,24,8
15,6,7
16,2,7
17,25,7
18,17,7
19,18,7
20,11,7
21,34,6
22,27,6
23,5,6
24,16,6
25,20,6
26,45,5
27,3,5
28,41,5
29,31,5
30,38,5
31,8,5
32,21,4
33,48,4
34,46,4
35,39,4
36,32,4
37,35,4
38,26,4
39,28,3
40,82,3
41,33,3
42,40,3
43,30,3
44,55,3
45,29,3
46,71,2
47,78,2
48,80,2
49,97,2
50,85,2
51,63,2
52,86,2
53,92,2
54,65,2
55,44,2
56,43,2
57,58,2
58,105,1
59,87,1
60,42,1
61,93,1
62,36,1
63,98,1
64,102,1
65,60,1
66,47,1
67,118,1
68,130,1
69,138,1
70,140,1
71,144,1
72,111,1
73,50,1
74,61,1
75,51,1
76,53,1
77,77,1
78,76,1
79,75,1
80,74,1
81,72,1
82,57,1
83,67,1
84,66,1
85,64,1
86,59,1
87,62,1
88,146,1
